NOMBRE CIENTÍFICO;NOMBRE COMÚN;"PHYLLUM /
DIVISIÓN";CLASE;ORDEN;FAMILIA;ENDÉMICA;"DISTRIBUCIÓN REGIONES:
ANT= ANTARTICA
DV= DESVENTURADAS
IP= ISLA DE PASCUA
JF= Arch. JUAN FERNÁNDEZ
SG= SALAS Y GOMEZ
? = Sin datos o de presencia dudosa o requiere confirmación";Arica y Parinacota;Tarapacá;Antofagasta;Atacama;Coquimbo;Valparaíso continental;Metropolitana;O'higgins;Maule;Ñuble;Bío-Bío;Araucanía;De Los Ríos;De Los Lagos;Aysén;Magallanes continental e insular;Antártica;Isla Pascua;Salas y Gómez;Juan Fernandez;Desventuradas;CATEGORÍA VIGENTE
Alsodes australis;sapo espinudo austral;Chordata;Amphibia;Anura;Alsodidae;NO;XI-XII;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;NT
Alsodes barrioi;sapo de Barros;Chordata;Amphibia;Anura;Alsodidae;SI;VIII-IX;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;EN-R
Alsodes cantillanensis;sapo;Chordata;Amphibia;Anura;Alsodidae;SI;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN
Alsodes gargola;rana de pecho espinoso del Catedral;Chordata;Amphibia;Anura;Alsodidae;NO;X;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;EN
Alsodes hugoi;sapo de Hugo;Chordata;Amphibia;Anura;Alsodidae;SI;VII;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;VU
Alsodes igneus;rana de pecho espinoso de Tolhuaca;Chordata;Amphibia;Anura;Alsodidae;SI;IX;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;VU
Alsodes kaweshkari;sapo kawaskar;Chordata;Amphibia;Anura;Alsodidae;SI;XI-XII;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;DD
Alsodes laevis;sapo de pecho espinoso de Potrero;Chordata;Amphibia;Anura;Alsodidae;SI;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR
Alsodes montanus;sapo de monte;Chordata;Amphibia;Anura;Alsodidae;SI;RM-VI;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;EN-R
Alsodes monticola;sapo;Chordata;Amphibia;Anura;Alsodidae;SI;XI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;NT
Alsodes nodosus;sapo arriero;Chordata;Amphibia;Anura;Alsodidae;SI;IV-VI ;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;NT
Alsodes norae;rana de pecho espinoso de Oncol;Chordata;Amphibia;Anura;Alsodidae;SI;XIV;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;CR
Alsodes pehuenche;sapo de pecho espinoso;Chordata;Amphibia;Anura;Alsodidae;NO;VII;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;CR
Alsodes tumultuosus;sapo;Chordata;Amphibia;Anura;Alsodidae;SI;RM-VI;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;EN-R
Alsodes valdiviensis;rana de pecho espinoso de Cordillera Pelada;Chordata;Amphibia;Anura;Alsodidae;SI;XIV;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;EN
Alsodes vanzolinii;sapo de Vanzolini;Chordata;Amphibia;Anura;Alsodidae;SI;VII;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;EN-R
Alsodes verrucosus;sapo de pecho espinoso de verrugas;Chordata;Amphibia;Anura;Alsodidae;NO;IX-X;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;EN
Alsodes vittatus;sapo de pecho espinoso de Malleco;Chordata;Amphibia;Anura;Alsodidae;SI;VIII;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;CR
Atelognathus ceii;sapo de Puerto Edén;Chordata;Amphibia;Anura;Batrachylidae;NO;XI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;DD
Atelognathus salai;rana de Jeinimeni;Chordata;Amphibia;Anura;Batrachylidae;NO;XI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;DD
Batrachyla antartandica;rana jaspeada;Chordata;Amphibia;Anura;Batrachylidae;NO;XIV-XII;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;LC
Batrachyla leptopus;rana moteada;Chordata;Amphibia;Anura;Batrachylidae;NO;VII-XI;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;LC
Batrachyla nibaldoi;rana de antifaz de Bahía Murta;Chordata;Amphibia;Anura;Batrachylidae;SI;X-XI;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;NT
Batrachyla taeniata;rana de ceja, ranita de antifaz;Chordata;Amphibia;Anura;Batrachylidae;NO;V-XI;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;NT
Calyptocephalella gayi;rana chilena;Chordata;Amphibia;Anura;Calyptocephalellidae;SI;III-XI;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;VU
Chaltenobatrachus grandisonae;sapo de Puerto Edén;Chordata;Amphibia;Anura;Batrachylidae;NO;XII;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;DD
